"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"GM000003319","BERLIN DAHLEM, GM","1960-01-01","0.02","0.0",,"46","38"
"GM000003319","BERLIN DAHLEM, GM","1960-01-02","0.10","0.0",,"48","43"
"GM000003319","BERLIN DAHLEM, GM","1960-01-03","0.00","0.0",,"45","37"
"GM000003319","BERLIN DAHLEM, GM","1960-01-04","0.00","0.0",,"42","39"
"GM000003319","BERLIN DAHLEM, GM","1960-01-05","0.41","0.0",,"46","39"
"GM000003319","BERLIN DAHLEM, GM","1960-01-06","0.28","0.0",,"45","36"
"GM000003319","BERLIN DAHLEM, GM","1960-01-07","0.15","0.0",,"42","30"
"GM000003319","BERLIN DAHLEM, GM","1960-01-08","0.05","0.0",,"37","31"
"GM000003319","BERLIN DAHLEM, GM","1960-01-09","0.00","0.4",,"31","21"
"GM000003319","BERLIN DAHLEM, GM","1960-01-10","0.14","0.4",,"26","20"
"GM000003319","BERLIN DAHLEM, GM","1960-01-11","0.04","2.4",,"28","15"
"GM000003319","BERLIN DAHLEM, GM","1960-01-12","0.06","3.5",,"26","11"
"GM000003319","BERLIN DAHLEM, GM","1960-01-13","0.24","3.1",,"24","17"
"GM000003319","BERLIN DAHLEM, GM","1960-01-14","0.00","5.9",,"27","15"
"GM000003319","BERLIN DAHLEM, GM","1960-01-15","0.00","5.1",,"18","4"
"GM000003319","BERLIN DAHLEM, GM","1960-01-16","0.07","3.9",,"27","18"
"GM000003319","BERLIN DAHLEM, GM","1960-01-17","0.04","5.1",,"30","20"
"GM000003319","BERLIN DAHLEM, GM","1960-01-18","0.00","4.7",,"31","22"
"GM000003319","BERLIN DAHLEM, GM","1960-01-19","0.11","4.3",,"40","29"
"GM000003319","BERLIN DAHLEM, GM","1960-01-20","0.13","4.3",,"37","32"
"GM000003319","BERLIN DAHLEM, GM","1960-01-21","0.00","3.9",,"35","30"
"GM000003319","BERLIN DAHLEM, GM","1960-01-22","0.00","3.1",,"36","29"
"GM000003319","BERLIN DAHLEM, GM","1960-01-23","0.00","2.0",,"44","33"
"GM000003319","BERLIN DAHLEM, GM","1960-01-24","0.00","1.6",,"45","34"
"GM000003319","BERLIN DAHLEM, GM","1960-01-25","0.02","0.0",,"48","34"
"GM000003319","BERLIN DAHLEM, GM","1960-01-26","0.00","0.0",,"48","33"
"GM000003319","BERLIN DAHLEM, GM","1960-01-27","0.02","0.0",,"41","35"
"GM000003319","BERLIN DAHLEM, GM","1960-01-28","0.11","0.0",,"39","36"
"GM000003319","BERLIN DAHLEM, GM","1960-01-29","0.05","0.0",,"46","36"
"GM000003319","BERLIN DAHLEM, GM","1960-01-30","0.02","0.0",,"39","29"
"GM000003319","BERLIN DAHLEM, GM","1960-01-31","0.00","0.0",,"30","22"
"GM000003319","BERLIN DAHLEM, GM","1960-02-01","0.00","0.0",,"27","17"
"GM000003319","BERLIN DAHLEM, GM","1960-02-02","0.00","0.0",,"26","13"
"GM000003319","BERLIN DAHLEM, GM","1960-02-03","0.00","0.0",,"28","13"
"GM000003319","BERLIN DAHLEM, GM","1960-02-04","0.03","0.0",,"29","20"
"GM000003319","BERLIN DAHLEM, GM","1960-02-05","0.06","0.4",,"26","20"
"GM000003319","BERLIN DAHLEM, GM","1960-02-06","0.00","0.8",,"25","13"
"GM000003319","BERLIN DAHLEM, GM","1960-02-07","0.00","0.4",,"24","10"
"GM000003319","BERLIN DAHLEM, GM","1960-02-08","0.00","0.4",,"29","6"
"GM000003319","BERLIN DAHLEM, GM","1960-02-09","0.00","0.4",,"36","11"
"GM000003319","BERLIN DAHLEM, GM","1960-02-10","0.03","0.4",,"36","20"
"GM000003319","BERLIN DAHLEM, GM","1960-02-11","0.00","0.0",,"38","32"
"GM000003319","BERLIN DAHLEM, GM","1960-02-12","0.02","0.0",,"37","33"
"GM000003319","BERLIN DAHLEM, GM","1960-02-13","0.00","0.0",,"35","31"
"GM000003319","BERLIN DAHLEM, GM","1960-02-14","0.13","0.0",,"38","29"
"GM000003319","BERLIN DAHLEM, GM","1960-02-15","0.02","0.0",,"38","31"
"GM000003319","BERLIN DAHLEM, GM","1960-02-16","0.05","0.0",,"37","27"
"GM000003319","BERLIN DAHLEM, GM","1960-02-17","0.00","0.0",,"38","31"
"GM000003319","BERLIN DAHLEM, GM","1960-02-18","0.00","0.0",,"39","25"
"GM000003319","BERLIN DAHLEM, GM","1960-02-19","0.00","0.0",,"41","25"
"GM000003319","BERLIN DAHLEM, GM","1960-02-20","0.00","0.0",,"44","30"
"GM000003319","BERLIN DAHLEM, GM","1960-02-21","0.08","0.0",,"48","35"
"GM000003319","BERLIN DAHLEM, GM","1960-02-22","0.00","0.0",,"42","27"
"GM000003319","BERLIN DAHLEM, GM","1960-02-23","0.10","0.0",,"49","35"
"GM000003319","BERLIN DAHLEM, GM","1960-02-24","0.15","0.0",,"40","33"
"GM000003319","BERLIN DAHLEM, GM","1960-02-25","0.00","0.0",,"34","31"
"GM000003319","BERLIN DAHLEM, GM","1960-02-26","0.00","0.0",,"31","26"
"GM000003319","BERLIN DAHLEM, GM","1960-02-27","0.11","0.0",,"47","25"
"GM000003319","BERLIN DAHLEM, GM","1960-02-28","0.00","0.0",,"50","38"
"GM000003319","BERLIN DAHLEM, GM","1960-02-29","0.00","0.0",,"52","45"
"GM000003319","BERLIN DAHLEM, GM","1960-03-01","0.13","0.0",,"45","38"
"GM000003319","BERLIN DAHLEM, GM","1960-03-02","0.07","0.0",,"53","36"
"GM000003319","BERLIN DAHLEM, GM","1960-03-03","0.08","0.0",,"50","43"
"GM000003319","BERLIN DAHLEM, GM","1960-03-04","0.07","0.0",,"46","39"
"GM000003319","BERLIN DAHLEM, GM","1960-03-05","0.00","0.0",,"45","37"
"GM000003319","BERLIN DAHLEM, GM","1960-03-06","0.00","0.0",,"38","28"
"GM000003319","BERLIN DAHLEM, GM","1960-03-07","0.00","0.0",,"33","26"
"GM000003319","BERLIN DAHLEM, GM","1960-03-08","0.01","0.0",,"31","19"
"GM000003319","BERLIN DAHLEM, GM","1960-03-09","0.00","0.0",,"41","23"
"GM000003319","BERLIN DAHLEM, GM","1960-03-10","0.00","0.0",,"47","30"
"GM000003319","BERLIN DAHLEM, GM","1960-03-11","0.00","0.0",,"52","34"
"GM000003319","BERLIN DAHLEM, GM","1960-03-12","0.09","0.0",,"48","38"
"GM000003319","BERLIN DAHLEM, GM","1960-03-13","0.06","0.0",,"43","37"
"GM000003319","BERLIN DAHLEM, GM","1960-03-14","0.00","0.0",,"49","38"
"GM000003319","BERLIN DAHLEM, GM","1960-03-15","0.00","0.0",,"44","35"
"GM000003319","BERLIN DAHLEM, GM","1960-03-16","0.00","0.0",,"38","32"
"GM000003319","BERLIN DAHLEM, GM","1960-03-17","0.00","0.0",,"37","33"
"GM000003319","BERLIN DAHLEM, GM","1960-03-18","0.00","0.0",,"34","32"
"GM000003319","BERLIN DAHLEM, GM","1960-03-19","0.00","0.0",,"35","32"
"GM000003319","BERLIN DAHLEM, GM","1960-03-20","0.02","0.0",,"39","33"
"GM000003319","BERLIN DAHLEM, GM","1960-03-21","0.00","0.0",,"42","32"
"GM000003319","BERLIN DAHLEM, GM","1960-03-22","0.00","0.0",,"51","30"
"GM000003319","BERLIN DAHLEM, GM","1960-03-23","0.00","0.0",,"54","34"
"GM000003319","BERLIN DAHLEM, GM","1960-03-24","0.00","0.0",,"49","31"
"GM000003319","BERLIN DAHLEM, GM","1960-03-25","0.00","0.0",,"57","34"
"GM000003319","BERLIN DAHLEM, GM","1960-03-26","0.00","0.0",,"57","39"
"GM000003319","BERLIN DAHLEM, GM","1960-03-27","0.00","0.0",,"63","44"
"GM000003319","BERLIN DAHLEM, GM","1960-03-28","0.01","0.0",,"47","39"
"GM000003319","BERLIN DAHLEM, GM","1960-03-29","0.00","0.0",,"45","38"
"GM000003319","BERLIN DAHLEM, GM","1960-03-30","0.00","0.0",,"54","36"
"GM000003319","BERLIN DAHLEM, GM","1960-03-31","0.00","0.0",,"49","32"
"GM000003319","BERLIN DAHLEM, GM","1960-04-01","0.00","0.0",,"50","30"
"GM000003319","BERLIN DAHLEM, GM","1960-04-02","0.00","0.0",,"56","29"
"GM000003319","BERLIN DAHLEM, GM","1960-04-03","0.00","0.0",,"60","34"
"GM000003319","BERLIN DAHLEM, GM","1960-04-04","0.00","0.0",,"53","36"
"GM000003319","BERLIN DAHLEM, GM","1960-04-05","0.00","0.0",,"50","30"
"GM000003319","BERLIN DAHLEM, GM","1960-04-06","0.00","0.0",,"49","31"
"GM000003319","BERLIN DAHLEM, GM","1960-04-07","0.00","0.0",,"50","31"
"GM000003319","BERLIN DAHLEM, GM","1960-04-08","0.36","0.0",,"51","32"
"GM000003319","BERLIN DAHLEM, GM","1960-04-09","0.02","0.0",,"49","42"
"GM000003319","BERLIN DAHLEM, GM","1960-04-10","0.31","0.0",,"53","41"
"GM000003319","BERLIN DAHLEM, GM","1960-04-11","0.00","0.0",,"54","43"
"GM000003319","BERLIN DAHLEM, GM","1960-04-12","0.00","0.0",,"55","42"
"GM000003319","BERLIN DAHLEM, GM","1960-04-13","0.00","0.0",,"62","40"
"GM000003319","BERLIN DAHLEM, GM","1960-04-14","0.01","0.0",,"56","45"
"GM000003319","BERLIN DAHLEM, GM","1960-04-15","0.03","0.0",,"54","38"
"GM000003319","BERLIN DAHLEM, GM","1960-04-16","0.00","0.0",,"52","35"
"GM000003319","BERLIN DAHLEM, GM","1960-04-17","0.00","0.0",,"58","35"
"GM000003319","BERLIN DAHLEM, GM","1960-04-18","0.00","0.0",,"63","43"
"GM000003319","BERLIN DAHLEM, GM","1960-04-19","0.00","0.0",,"72","47"
"GM000003319","BERLIN DAHLEM, GM","1960-04-20","0.00","0.0",,"71","50"
"GM000003319","BERLIN DAHLEM, GM","1960-04-21","0.00","0.0",,"68","47"
"GM000003319","BERLIN DAHLEM, GM","1960-04-22","0.00","0.0",,"50","41"
"GM000003319","BERLIN DAHLEM, GM","1960-04-23","0.00","0.0",,"49","40"
"GM000003319","BERLIN DAHLEM, GM","1960-04-24","0.03","0.0",,"48","37"
"GM000003319","BERLIN DAHLEM, GM","1960-04-25","0.05","0.0",,"53","32"
"GM000003319","BERLIN DAHLEM, GM","1960-04-26","0.03","0.0",,"46","35"
"GM000003319","BERLIN DAHLEM, GM","1960-04-27","0.07","0.0",,"48","33"
"GM000003319","BERLIN DAHLEM, GM","1960-04-28","0.06","0.0",,"44","35"
"GM000003319","BERLIN DAHLEM, GM","1960-04-29","0.00","0.0",,"53","32"
"GM000003319","BERLIN DAHLEM, GM","1960-04-30","0.00","0.0",,"50","40"
"GM000003319","BERLIN DAHLEM, GM","1960-05-01","0.00","0.0",,"49","37"
"GM000003319","BERLIN DAHLEM, GM","1960-05-02","0.00","0.0",,"52","33"
"GM000003319","BERLIN DAHLEM, GM","1960-05-03","0.00","0.0",,"54","35"
"GM000003319","BERLIN DAHLEM, GM","1960-05-04","0.00","0.0",,"65","35"
"GM000003319","BERLIN DAHLEM, GM","1960-05-05","0.00","0.0",,"69","38"
"GM000003319","BERLIN DAHLEM, GM","1960-05-06","0.00","0.0",,"73","40"
"GM000003319","BERLIN DAHLEM, GM","1960-05-07","0.00","0.0",,"70","44"
"GM000003319","BERLIN DAHLEM, GM","1960-05-08","0.00","0.0",,"71","47"
"GM000003319","BERLIN DAHLEM, GM","1960-05-09","0.00","0.0",,"68","46"
"GM000003319","BERLIN DAHLEM, GM","1960-05-10","0.04","0.0",,"66","54"
"GM000003319","BERLIN DAHLEM, GM","1960-05-11","0.00","0.0",,"69","52"
"GM000003319","BERLIN DAHLEM, GM","1960-05-12","0.00","0.0",,"71","49"
"GM000003319","BERLIN DAHLEM, GM","1960-05-13","0.00","0.0",,"75","53"
"GM000003319","BERLIN DAHLEM, GM","1960-05-14","0.00","0.0",,"73","54"
"GM000003319","BERLIN DAHLEM, GM","1960-05-15","0.00","0.0",,"75","54"
"GM000003319","BERLIN DAHLEM, GM","1960-05-16","0.00","0.0",,"76","57"
"GM000003319","BERLIN DAHLEM, GM","1960-05-17","0.07","0.0",,"76","54"
